transaction_id,month,month_number,department,category,subcategory,vendor,actual_amount,budget_amount,variance_amt,variance_pct,status,approver,notes
TXN-1017,May-24,11,Business Banking,Operations,Subscriptions,Various Suppliers,9338.89,9040.37,298.52,3.3,On Track,S.Patel,
TXN-1018,Jan-24,7,Wealth Management,Professional Fees,Legal Fees,MinterEllison,40034.12,38139.62,1894.5,4.97,On Track,R.Wong,
TXN-1019,Sep-23,3,Finance,Staff Costs,Training,Deloitte Academy,47090.04,44254.38,2835.66,6.41,Monitor,S.Patel,
TXN-1020,Sep-23,3,Finance,Marketing,Advertising,News Corp,6118.97,5643.98,474.99,8.42,Monitor,S.Patel,
TXN-1021,Nov-23,5,Insurance,Staff Costs,Superannuation,Hostplus,80915.11,74209.73,6705.38,9.04,Monitor,A.Johnson,
TXN-1022,Aug-23,2,Finance,Technology,Cloud Services,Google Cloud,14094.98,14235.38,-140.4,-0.99,On Track,S.Patel,
TXN-1023,Mar-24,9,Risk,Professional Fees,Audit Fees,KPMG,33517.96,32840.85,677.11,2.06,On Track,S.Patel,
TXN-1024,Feb-24,8,Finance,Professional Fees,Legal Fees,Herbert Smith Freehills,13987.89,13534.92,452.97,3.35,On Track,R.Wong,
TXN-1025,Mar-24,9,Insurance,Marketing,Events,Various Suppliers,1316.42,1350.94,-34.52,-2.56,On Track,M.Chen,
TXN-1026,Aug-23,2,Retail Banking,Occupancy,Rent,Charter Hall,7522.09,7776.3,-254.21,-3.27,On Track,M.Chen,
TXN-1027,Mar-24,9,Wealth Management,Operations,Subscriptions,Various Suppliers,3294.47,3276.66,17.81,0.54,On Track,A.Johnson,
TXN-1028,Oct-23,4,Business Banking,Staff Costs,Recruitment,Various Suppliers,40615.55,40347.69,267.86,0.66,On Track,J.Smith,
TXN-1029,May-24,11,Business Banking,Staff Costs,Recruitment,Various Suppliers,69645.62,64203.08,5442.54,8.48,Monitor,M.Chen,
TXN-1030,Oct-23,4,Finance,Professional Fees,Audit Fees,EY,12339.52,12247.29,92.23,0.75,On Track,J.Smith,
TXN-1031,Feb-24,8,Finance,Staff Costs,Salaries,Payroll Direct,82612.71,89657.38,-7044.67,-7.86,Approved,M.Chen,
TXN-1032,Sep-23,3,IT,Professional Fees,Advisory,Various Suppliers,39586.02,42772.24,-3186.22,-7.45,Monitor,M.Chen,
TXN-1033,Jan-24,7,Retail Banking,Professional Fees,Consulting,Deloitte,16409.97,17055.18,-645.21,-3.78,On Track,R.Wong,
TXN-1034,May-24,11,HR,Technology,Cloud Services,Azure,7269.07,6627.19,641.88,9.69,Monitor,R.Wong,
TXN-1035,Jul-23,1,Operations,Staff Costs,Salaries,Payroll Direct,46719.48,50015.26,-3295.78,-6.59,Approved,M.Chen,
TXN-1036,Jul-23,1,Finance,Staff Costs,Superannuation,AustralianSuper,53817.7,55703.61,-1885.91,-3.39,On Track,M.Chen,
TXN-1037,Jan-24,7,Business Banking,Marketing,Events,Various Suppliers,7622.89,7499.74,123.15,1.64,On Track,R.Wong,
TXN-1038,Apr-24,10,Finance,Occupancy,Maintenance,Various Suppliers,15724.79,15140.41,584.38,3.86,On Track,S.Patel,
TXN-1039,Jan-24,7,Wealth Management,Operations,Travel,Virgin Australia,4136.04,4344.38,-208.34,-4.8,On Track,J.Smith,
TXN-1040,Jul-23,1,HR,Marketing,Sponsorship,Various Suppliers,1342.5,1265.48,77.02,6.09,Monitor,S.Patel,
TXN-1041,Sep-23,3,Operations,Staff Costs,Superannuation,REST Super,29944.03,29573.83,370.2,1.25,On Track,R.Wong,
TXN-1042,Jun-24,12,Markets,Marketing,Sponsorship,Various Suppliers,8180.43,8269.76,-89.33,-1.08,On Track,J.Smith,
TXN-1043,Sep-23,3,Markets,Staff Costs,Salaries,Payroll Direct,28970.81,29578.21,-607.4,-2.05,Approved,S.Patel,
TXN-1044,Oct-23,4,Markets,Marketing,Print,Various Suppliers,10911.37,11666.66,-755.29,-6.47,Monitor,J.Smith,
TXN-1045,May-24,11,IT,Occupancy,Rent,Dexus Property,9337.57,8648.12,689.45,7.97,Monitor,S.Patel,
TXN-1046,Sep-23,3,HR,Marketing,Print,Various Suppliers,1786.55,1945.57,-159.02,-8.17,Monitor,M.Chen,
TXN-1047,Mar-24,9,Retail Banking,Occupancy,Cleaning,Various Suppliers,11165.95,10142.77,1023.18,10.09,Monitor,S.Patel,
TXN-1048,Jul-23,1,Operations,Technology,Cloud Services,Google Cloud,4224.03,4460.67,-236.64,-5.31,Monitor,A.Johnson,
TXN-1049,Apr-24,10,Wealth Management,Technology,Cloud Services,AWS,24857.53,22495.0,2362.53,10.5,Monitor,S.Patel,
TXN-1050,Jan-24,7,Insurance,Occupancy,Utilities,Sydney Water,5053.82,5429.99,-376.17,-6.93,Monitor,A.Johnson,
TXN-1051,Oct-23,4,Insurance,Professional Fees,Consulting,Accenture,37821.46,40630.26,-2808.8,-6.91,Monitor,M.Chen,
TXN-1052,Jul-23,1,Insurance,Professional Fees,Consulting,Accenture,39574.12,43269.47,-3695.35,-8.54,Monitor,S.Patel,
TXN-1053,Dec-23,6,Finance,Professional Fees,Compliance,Various Suppliers,42569.49,39294.55,3274.94,8.33,Monitor,S.Patel,
TXN-1054,Sep-23,3,Risk,Occupancy,Rent,Dexus Property,14334.85,13892.44,442.41,3.18,On Track,S.Patel,
TXN-1055,Jan-24,7,Risk,Marketing,Advertising,oOh!media,10844.3,10172.12,672.18,6.61,Monitor,J.Smith,
TXN-1056,Jun-24,12,IT,Staff Costs,Benefits,Various Suppliers,36045.05,32944.99,3100.06,9.41,Monitor,S.Patel,
TXN-1057,Apr-24,10,Operations,Operations,Postage,Various Suppliers,6331.91,6543.26,-211.35,-3.23,On Track,S.Patel,
TXN-1058,Jan-24,7,Markets,Marketing,Events,Various Suppliers,5335.13,5805.01,-469.88,-8.09,Monitor,M.Chen,
TXN-1059,Apr-24,10,Risk,Occupancy,Security,Various Suppliers,8773.62,8265.07,508.55,6.15,Monitor,R.Wong,
TXN-1060,Apr-24,10,Operations,Professional Fees,Advisory,Various Suppliers,32025.09,32096.66,-71.57,-0.22,On Track,M.Chen,
TXN-1061,May-24,11,Business Banking,Occupancy,Cleaning,Various Suppliers,4774.36,5205.96,-431.6,-8.29,Monitor,M.Chen,
TXN-1062,May-24,11,Markets,Technology,Cloud Services,AWS,2147.27,2037.69,109.58,5.38,Monitor,A.Johnson,
TXN-1063,Apr-24,10,Business Banking,Professional Fees,Advisory,Various Suppliers,33733.84,32951.07,782.77,2.38,On Track,A.Johnson,
TXN-1064,Oct-23,4,Wealth Management,Operations,Postage,Various Suppliers,9451.83,8920.34,531.49,5.96,Monitor,R.Wong,
TXN-1065,Feb-24,8,Retail Banking,Marketing,Events,Various Suppliers,5749.31,6095.9,-346.59,-5.69,Monitor,R.Wong,
TXN-1066,Mar-24,9,Risk,Occupancy,Security,Various Suppliers,18780.81,18960.62,-179.81,-0.95,On Track,M.Chen,
TXN-1067,Jun-24,12,HR,Professional Fees,Consulting,Boston Consulting,38594.52,36875.61,1718.91,4.66,On Track,R.Wong,
TXN-1068,Feb-24,8,Insurance,Occupancy,Security,Various Suppliers,16557.35,15678.13,879.22,5.61,Monitor,S.Patel,
TXN-1069,Dec-23,6,Finance,Staff Costs,Superannuation,AustralianSuper,25807.13,26808.19,-1001.06,-3.73,On Track,M.Chen,
TXN-1070,Aug-23,2,IT,Professional Fees,Consulting,Deloitte,21630.97,20362.68,1268.29,6.23,Monitor,A.Johnson,
TXN-1071,Jan-24,7,Risk,Operations,Postage,Various Suppliers,5985.27,6515.26,-529.99,-8.13,Monitor,S.Patel,
TXN-1072,Jan-24,7,IT,Marketing,Sponsorship,Various Suppliers,6114.64,5836.96,277.68,4.76,On Track,A.Johnson,
TXN-1073,Jul-23,1,IT,Occupancy,Security,Various Suppliers,18969.61,20561.32,-1591.71,-7.74,Monitor,R.Wong,
TXN-1074,Mar-24,9,Retail Banking,Professional Fees,Compliance,Various Suppliers,8357.9,8238.57,119.33,1.45,On Track,A.Johnson,
TXN-1075,Sep-23,3,Retail Banking,Occupancy,Security,Various Suppliers,7021.55,6778.39,243.16,3.59,On Track,A.Johnson,
TXN-1076,Nov-23,5,IT,Occupancy,Rent,GPT Group,3368.28,3394.83,-26.55,-0.78,On Track,S.Patel,
TXN-1077,Oct-23,4,Business Banking,Operations,Postage,Various Suppliers,11420.53,10733.84,686.69,6.4,Monitor,J.Smith,
TXN-1078,Apr-24,10,Wealth Management,Technology,Cloud Services,Azure,19240.66,19486.82,-246.16,-1.26,On Track,M.Chen,
TXN-1079,Feb-24,8,Markets,Occupancy,Utilities,Sydney Water,14537.7,15258.55,-720.85,-4.72,On Track,J.Smith,
TXN-1080,Sep-23,3,Markets,Staff Costs,Benefits,Various Suppliers,79524.31,80729.85,-1205.54,-1.49,On Track,A.Johnson,
TXN-1081,Jan-24,7,Insurance,Staff Costs,Benefits,Various Suppliers,15846.4,16709.97,-863.57,-5.17,Monitor,R.Wong,
TXN-1082,Aug-23,2,Risk,Staff Costs,Training,Deloitte Academy,40985.11,39924.18,1060.93,2.66,On Track,R.Wong,
TXN-1083,May-24,11,Operations,Staff Costs,Recruitment,Various Suppliers,16126.49,17612.67,-1486.18,-8.44,Monitor,A.Johnson,
TXN-1084,Jun-24,12,Wealth Management,Professional Fees,Audit Fees,Deloitte,29636.49,32123.69,-2487.2,-7.74,Monitor,A.Johnson,
TXN-1085,Feb-24,8,IT,Operations,Subscriptions,Various Suppliers,4206.5,3992.39,214.11,5.36,Monitor,J.Smith,
TXN-1086,Nov-23,5,HR,Technology,IT Support,Various Suppliers,10414.51,10402.65,11.86,0.11,On Track,S.Patel,
TXN-1087,Sep-23,3,HR,Technology,Hardware,Various Suppliers,10518.98,11319.1,-800.12,-7.07,Monitor,S.Patel,
TXN-1088,Mar-24,9,Retail Banking,Marketing,Events,Various Suppliers,3275.59,3214.29,61.3,1.91,On Track,R.Wong,
TXN-1089,Oct-23,4,HR,Operations,Entertainment,Various Suppliers,9618.73,8835.87,782.86,8.86,Monitor,M.Chen,
TXN-1090,Jan-24,7,Insurance,Occupancy,Cleaning,Various Suppliers,11991.95,12066.11,-74.16,-0.61,On Track,A.Johnson,
TXN-1091,Jun-24,12,Finance,Occupancy,Maintenance,Various Suppliers,8147.41,7742.33,405.08,5.23,Monitor,J.Smith,
TXN-1092,Jun-24,12,Insurance,Occupancy,Rent,Charter Hall,13181.42,13872.63,-691.21,-4.98,On Track,M.Chen,
TXN-1093,Oct-23,4,Insurance,Operations,Entertainment,Various Suppliers,8832.73,9674.68,-841.95,-8.7,Monitor,R.Wong,
TXN-1094,Apr-24,10,Markets,Staff Costs,Superannuation,REST Super,25516.2,23880.31,1635.89,6.85,Monitor,J.Smith,
TXN-1095,Jun-24,12,Finance,Technology,Hardware,Various Suppliers,27318.82,27610.36,-291.54,-1.06,On Track,M.Chen,
TXN-1096,May-24,11,HR,Staff Costs,Salaries,Payroll Direct,44143.56,43617.98,525.58,1.2,Approved,M.Chen,
TXN-1097,Jul-23,1,Markets,Professional Fees,Legal Fees,Herbert Smith Freehills,21028.3,19237.03,1791.27,9.31,Monitor,J.Smith,
TXN-1098,Sep-23,3,Wealth Management,Marketing,Digital Marketing,Various Suppliers,11930.06,11019.68,910.38,8.26,Monitor,A.Johnson,
TXN-1099,Apr-24,10,Risk,Marketing,Events,Various Suppliers,5680.92,5615.84,65.08,1.16,On Track,R.Wong,
TXN-1100,Jan-24,7,Markets,Marketing,Sponsorship,Various Suppliers,7510.76,7871.41,-360.65,-4.58,On Track,M.Chen,
TXN-1101,May-24,11,Insurance,Occupancy,Rent,Dexus Property,7557.44,7636.03,-78.59,-1.03,On Track,M.Chen,
TXN-1102,Jul-23,1,IT,Professional Fees,Compliance,Various Suppliers,16650.37,15756.17,894.2,5.68,Monitor,S.Patel,
TXN-1103,Jun-24,12,HR,Staff Costs,Superannuation,REST Super,68662.76,70380.13,-1717.37,-2.44,On Track,M.Chen,
TXN-1104,Jan-24,7,Business Banking,Marketing,Events,Various Suppliers,10946.73,11661.84,-715.11,-6.13,Monitor,J.Smith,
TXN-1105,Jul-23,1,Wealth Management,Occupancy,Cleaning,Various Suppliers,11343.92,11272.9,71.02,0.63,On Track,S.Patel,
TXN-1106,Jun-24,12,IT,Occupancy,Cleaning,Various Suppliers,11317.42,11539.32,-221.9,-1.92,On Track,A.Johnson,
TXN-1107,Jun-24,12,Operations,Marketing,Digital Marketing,Various Suppliers,1550.26,1693.48,-143.22,-8.46,Monitor,R.Wong,
TXN-1108,Apr-24,10,Retail Banking,Operations,Travel,Airbnb Business,962.66,1012.0,-49.34,-4.88,On Track,A.Johnson,
TXN-1109,Mar-24,9,HR,Occupancy,Utilities,Sydney Water,11281.81,11990.86,-709.05,-5.91,Monitor,J.Smith,
TXN-1110,Feb-24,8,Operations,Professional Fees,Consulting,Accenture,31805.34,34080.9,-2275.56,-6.68,Monitor,S.Patel,
TXN-1111,Jan-24,7,HR,Occupancy,Security,Various Suppliers,11641.69,11209.82,431.87,3.85,On Track,S.Patel,
TXN-1112,Aug-23,2,IT,Marketing,Advertising,oOh!media,5252.35,4924.16,328.19,6.66,Monitor,S.Patel,
TXN-1113,Apr-24,10,HR,Operations,Entertainment,Various Suppliers,2840.92,2868.89,-27.97,-0.97,On Track,S.Patel,
TXN-1114,Feb-24,8,HR,Staff Costs,Salaries,Payroll Direct,62653.28,60281.86,2371.42,3.93,Approved,J.Smith,
TXN-1115,Mar-24,9,IT,Staff Costs,Superannuation,AustralianSuper,43531.49,40201.04,3330.45,8.28,Monitor,M.Chen,
TXN-1116,Feb-24,8,Markets,Marketing,Digital Marketing,Various Suppliers,10099.33,11069.36,-970.03,-8.76,Monitor,M.Chen,
TXN-1117,Feb-24,8,Finance,Technology,IT Support,Various Suppliers,25929.51,25972.25,-42.74,-0.16,On Track,M.Chen,
TXN-1118,Aug-23,2,Markets,Professional Fees,Consulting,Accenture,37821.98,36179.29,1642.69,4.54,On Track,S.Patel,
TXN-1119,Apr-24,10,Risk,Operations,Entertainment,Various Suppliers,5635.3,5617.65,17.65,0.31,On Track,S.Patel,
TXN-1120,Mar-24,9,Finance,Professional Fees,Advisory,Various Suppliers,39784.07,43609.5,-3825.43,-8.77,Monitor,M.Chen,
TXN-1121,Apr-24,10,IT,Technology,IT Support,Various Suppliers,9931.67,9877.99,53.68,0.54,On Track,A.Johnson,
TXN-1122,Jan-24,7,Wealth Management,Professional Fees,Legal Fees,Herbert Smith Freehills,25091.65,25544.21,-452.56,-1.77,On Track,J.Smith,
TXN-1123,Feb-24,8,Business Banking,Marketing,Print,Various Suppliers,8808.1,8649.52,158.58,1.83,On Track,M.Chen,
TXN-1124,Aug-23,2,HR,Occupancy,Maintenance,Various Suppliers,15346.9,16426.6,-1079.7,-6.57,Monitor,R.Wong,
TXN-1125,Jan-24,7,Operations,Operations,Entertainment,Various Suppliers,7600.78,7197.59,403.19,5.6,Monitor,S.Patel,
TXN-1126,Oct-23,4,Business Banking,Professional Fees,Legal Fees,MinterEllison,33155.63,30506.54,2649.09,8.68,Monitor,M.Chen,
TXN-1127,Jun-24,12,Markets,Staff Costs,Salaries,Payroll Direct,69303.05,66439.0,2864.05,4.31,Approved,S.Patel,
TXN-1128,Jan-24,7,Wealth Management,Technology,Cybersecurity,Various Suppliers,16497.09,17462.23,-965.14,-5.53,Monitor,M.Chen,
TXN-1129,Sep-23,3,Business Banking,Marketing,Print,Various Suppliers,6223.17,6326.67,-103.5,-1.64,On Track,M.Chen,
TXN-1130,Feb-24,8,Markets,Professional Fees,Consulting,McKinsey,40956.34,40671.72,284.62,0.7,On Track,S.Patel,
TXN-1131,May-24,11,Finance,Technology,Software Licenses,ServiceNow,26548.74,29138.05,-2589.31,-8.89,Monitor,S.Patel,
TXN-1132,May-24,11,IT,Operations,Travel,Virgin Australia,10221.0,9606.14,614.86,6.4,Monitor,A.Johnson,
TXN-1133,Feb-24,8,Business Banking,Technology,IT Support,Various Suppliers,16732.52,18381.32,-1648.8,-8.97,Monitor,S.Patel,
TXN-1134,Jul-23,1,IT,Occupancy,Rent,Charter Hall,19436.28,20518.15,-1081.87,-5.27,Monitor,J.Smith,
TXN-1135,Apr-24,10,HR,Occupancy,Utilities,Sydney Water,18236.71,17211.82,1024.89,5.95,Monitor,M.Chen,
TXN-1136,Apr-24,10,Markets,Operations,Printing,Various Suppliers,10889.14,11207.84,-318.7,-2.84,On Track,S.Patel,
TXN-1137,Feb-24,8,Retail Banking,Marketing,Digital Marketing,Various Suppliers,1536.53,1473.57,62.96,4.27,On Track,A.Johnson,
TXN-1138,Sep-23,3,Insurance,Technology,Cybersecurity,Various Suppliers,15567.59,16854.99,-1287.4,-7.64,Monitor,M.Chen,
TXN-1139,Nov-23,5,HR,Occupancy,Maintenance,Various Suppliers,11898.3,10887.66,1010.64,9.28,Monitor,M.Chen,
TXN-1140,May-24,11,IT,Marketing,Digital Marketing,Various Suppliers,9592.84,8660.26,932.58,10.77,Monitor,R.Wong,
TXN-1141,Aug-23,2,HR,Occupancy,Maintenance,Various Suppliers,18625.93,20266.1,-1640.17,-8.09,Monitor,J.Smith,
TXN-1142,May-24,11,Insurance,Professional Fees,Legal Fees,MinterEllison,40369.39,40865.19,-495.8,-1.21,On Track,R.Wong,
TXN-1143,Oct-23,4,Business Banking,Operations,Entertainment,Various Suppliers,7966.25,7355.52,610.73,8.3,Monitor,J.Smith,
TXN-1144,Jul-23,1,Markets,Professional Fees,Legal Fees,Herbert Smith Freehills,14392.0,14500.07,-108.07,-0.75,On Track,A.Johnson,
TXN-1145,Feb-24,8,Operations,Operations,Subscriptions,Various Suppliers,7254.41,7583.18,-328.77,-4.34,On Track,A.Johnson,
TXN-1146,May-24,11,Business Banking,Professional Fees,Compliance,Various Suppliers,42562.12,40687.17,1874.95,4.61,On Track,S.Patel,
TXN-1147,Oct-23,4,HR,Professional Fees,Audit Fees,Deloitte,8974.18,9307.45,-333.27,-3.58,On Track,R.Wong,
TXN-1148,May-24,11,Operations,Staff Costs,Recruitment,Various Suppliers,22615.26,20906.27,1708.99,8.17,Monitor,A.Johnson,
TXN-1149,Aug-23,2,Insurance,Operations,Subscriptions,Various Suppliers,1081.65,1045.63,36.02,3.44,On Track,M.Chen,
TXN-1150,Apr-24,10,Insurance,Staff Costs,Benefits,Various Suppliers,53151.5,56479.35,-3327.85,-5.89,Monitor,M.Chen,
TXN-1151,Dec-23,6,Wealth Management,Marketing,Advertising,News Corp,10371.67,9634.63,737.04,7.65,Monitor,M.Chen,
TXN-1152,Mar-24,9,Markets,Technology,Software Licenses,Microsoft,4992.79,4851.24,141.55,2.92,On Track,M.Chen,
TXN-1153,Apr-24,10,Operations,Staff Costs,Superannuation,REST Super,12034.72,12616.52,-581.8,-4.61,On Track,R.Wong,
TXN-1154,Aug-23,2,Business Banking,Professional Fees,Advisory,Various Suppliers,25529.52,23533.39,1996.13,8.48,Monitor,R.Wong,
TXN-1155,Oct-23,4,Risk,Staff Costs,Benefits,Various Suppliers,43269.27,47284.88,-4015.61,-8.49,Monitor,J.Smith,
TXN-1156,Feb-24,8,IT,Professional Fees,Legal Fees,Allens,33496.05,33117.96,378.09,1.14,On Track,J.Smith,
TXN-1157,Dec-23,6,Risk,Technology,Software Licenses,Salesforce,8787.92,9021.81,-233.89,-2.59,On Track,R.Wong,
TXN-1158,Jun-24,12,Operations,Professional Fees,Compliance,Various Suppliers,23148.62,23636.72,-488.1,-2.07,On Track,J.Smith,
TXN-1159,Jun-24,12,Business Banking,Operations,Subscriptions,Various Suppliers,5445.8,5868.49,-422.69,-7.2,Monitor,A.Johnson,
TXN-1160,Dec-23,6,HR,Professional Fees,Advisory,Various Suppliers,17501.93,16845.69,656.24,3.9,On Track,S.Patel,
TXN-1161,Dec-23,6,Wealth Management,Operations,Entertainment,Various Suppliers,1549.09,1420.63,128.46,9.04,Monitor,A.Johnson,
TXN-1162,Aug-23,2,Operations,Technology,Cybersecurity,Various Suppliers,17041.32,17251.22,-209.9,-1.22,On Track,S.Patel,
TXN-1163,May-24,11,Business Banking,Professional Fees,Consulting,Deloitte,39723.69,41479.96,-1756.27,-4.23,On Track,S.Patel,
TXN-1164,Apr-24,10,Markets,Occupancy,Rent,Charter Hall,12640.84,11767.94,872.9,7.42,Monitor,A.Johnson,
TXN-1165,Oct-23,4,Business Banking,Occupancy,Cleaning,Various Suppliers,5182.82,4953.29,229.53,4.63,On Track,M.Chen,
TXN-1166,Jan-24,7,Finance,Marketing,Sponsorship,Various Suppliers,7503.44,7740.3,-236.86,-3.06,On Track,S.Patel,
TXN-1167,Jul-23,1,Wealth Management,Occupancy,Maintenance,Various Suppliers,9669.44,9053.31,616.13,6.81,Monitor,M.Chen,
TXN-1168,Apr-24,10,IT,Staff Costs,Superannuation,Hostplus,56754.24,51426.8,5327.44,10.36,Monitor,R.Wong,
TXN-1169,Oct-23,4,IT,Professional Fees,Advisory,Various Suppliers,11296.37,10870.81,425.56,3.91,On Track,S.Patel,
TXN-1170,Apr-24,10,Risk,Staff Costs,Salaries,Payroll Direct,20120.56,20594.75,-474.19,-2.3,Approved,J.Smith,
TXN-1171,Nov-23,5,HR,Operations,Entertainment,Various Suppliers,7481.37,7352.97,128.4,1.75,On Track,M.Chen,
TXN-1172,Mar-24,9,Business Banking,Occupancy,Security,Various Suppliers,8381.68,8680.88,-299.2,-3.45,On Track,A.Johnson,
TXN-1173,Mar-24,9,Markets,Staff Costs,Superannuation,REST Super,83802.32,76340.26,7462.06,9.77,Monitor,M.Chen,
TXN-1174,Nov-23,5,Insurance,Technology,Hardware,Various Suppliers,10195.24,9191.48,1003.76,10.92,Monitor,A.Johnson,
TXN-1175,Sep-23,3,Wealth Management,Professional Fees,Compliance,Various Suppliers,25010.49,26677.96,-1667.47,-6.25,Monitor,S.Patel,
TXN-1176,Aug-23,2,IT,Operations,Postage,Various Suppliers,715.53,775.8,-60.27,-7.77,Monitor,S.Patel,
TXN-1177,Apr-24,10,IT,Marketing,Print,Various Suppliers,3829.42,3756.69,72.73,1.94,On Track,S.Patel,
TXN-1178,Sep-23,3,Risk,Professional Fees,Consulting,McKinsey,22468.47,20697.34,1771.13,8.56,Monitor,A.Johnson,
TXN-1179,Apr-24,10,IT,Marketing,Advertising,oOh!media,10511.03,11027.76,-516.73,-4.69,On Track,M.Chen,
TXN-1180,Dec-23,6,Wealth Management,Staff Costs,Benefits,Various Suppliers,48856.57,45865.61,2990.96,6.52,Monitor,S.Patel,
TXN-1181,Dec-23,6,Wealth Management,Technology,Software Licenses,Salesforce,8283.16,7742.27,540.89,6.99,Monitor,M.Chen,
TXN-1182,May-24,11,Business Banking,Technology,IT Support,Various Suppliers,21492.81,22609.91,-1117.1,-4.94,On Track,A.Johnson,
TXN-1183,May-24,11,Risk,Operations,Subscriptions,Various Suppliers,10438.84,10704.44,-265.6,-2.48,On Track,M.Chen,
TXN-1184,Feb-24,8,Business Banking,Professional Fees,Advisory,Various Suppliers,36853.19,37527.01,-673.82,-1.8,On Track,S.Patel,
TXN-1185,Mar-24,9,Business Banking,Occupancy,Security,Various Suppliers,3714.54,3617.02,97.52,2.7,On Track,S.Patel,
TXN-1186,Aug-23,2,Business Banking,Marketing,Sponsorship,Various Suppliers,5821.18,5884.42,-63.24,-1.07,On Track,J.Smith,
TXN-1187,Feb-24,8,Risk,Operations,Printing,Various Suppliers,7457.57,7459.61,-2.04,-0.03,On Track,J.Smith,
TXN-1188,Feb-24,8,Business Banking,Occupancy,Rent,Charter Hall,15276.41,13868.36,1408.05,10.15,Monitor,A.Johnson,
TXN-1189,Feb-24,8,Finance,Marketing,Sponsorship,Various Suppliers,4684.83,5076.42,-391.59,-7.71,Monitor,A.Johnson,
TXN-1190,Jan-24,7,Operations,Operations,Subscriptions,Various Suppliers,9576.11,9858.23,-282.12,-2.86,On Track,J.Smith,
TXN-1191,Dec-23,6,Business Banking,Marketing,Print,Various Suppliers,3397.95,3636.87,-238.92,-6.57,Monitor,R.Wong,
TXN-1192,Sep-23,3,Operations,Staff Costs,Benefits,Various Suppliers,78589.48,75606.72,2982.76,3.95,On Track,A.Johnson,
TXN-1193,Sep-23,3,Risk,Operations,Postage,Various Suppliers,6927.6,7126.41,-198.81,-2.79,On Track,S.Patel,
TXN-1194,Sep-23,3,Finance,Staff Costs,Recruitment,Various Suppliers,9403.75,9044.27,359.48,3.97,On Track,M.Chen,
TXN-1195,Dec-23,6,HR,Technology,Cloud Services,AWS,5606.05,5377.09,228.96,4.26,On Track,J.Smith,
TXN-1196,Mar-24,9,Finance,Operations,Subscriptions,Various Suppliers,8112.19,8722.86,-610.67,-7.0,Monitor,R.Wong,
TXN-1197,Sep-23,3,Risk,Professional Fees,Audit Fees,KPMG,12233.84,12705.69,-471.85,-3.71,On Track,R.Wong,
TXN-1198,Sep-23,3,HR,Staff Costs,Recruitment,Various Suppliers,60079.95,56926.12,3153.83,5.54,Monitor,A.Johnson,
TXN-1199,Apr-24,10,Markets,Operations,Entertainment,Various Suppliers,6641.13,6388.06,253.07,3.96,On Track,A.Johnson,
TXN-1200,Oct-23,4,Operations,Operations,Subscriptions,Various Suppliers,5809.32,5555.77,253.55,4.56,On Track,A.Johnson,
TXN-1201,Mar-24,9,Finance,Professional Fees,Audit Fees,KPMG,37050.37,34370.88,2679.49,7.8,Monitor,S.Patel,
